# クロスロード住人の行動ルーティン表(区画レベル)
#
# tools/day_plan.py が読む。日付と時間帯を入れると、この表の重みに従って
# 各人の居場所が乱数で決まる(同じ日付・時間帯なら何度引いても同じ結果)。
#
# 列:名前 / ファイル(characters/npcs/の番号) / 同行(この人の遠出に付いていく) /
#     追従(`名前:確率%`。市内でもその人と同じ区画にいる=供・専属護衛) /
#     遠出率(%。1日ごとに市外へ出るか判定) / 遠出先(重み付き) /
#     既定(市内での居場所。重み付き) / 未明 / 朝 / 昼 / 夕 / 宵 / 夜半
#
# ・時間帯の列が空なら「既定」を使う。
# ・重みは `場所:数値` を `|` で区切る。数値省略時は1。
# ・場所名は day_plan.py の語彙(5区画+下水道+危険地域4+ダンジョン3+街道4)のみ。
# ・遠出は日帰り想定(朝〜夕が市外、宵には街に戻る)。泊まりがけにしたい時は
#   GM裁量で翌日も同じ行き先に据え置いてよい。
# ・同行が設定されている者は、遠出するかどうかも行き先も相手と同じになる
#   (パーティー・コンビは一緒に出る)。市内の居場所は各自バラバラに決まる。
# ・追従が設定されている者は、市内でもその確率で相手と同じ区画に出る(供として付いて回る)。
#   外れた分は自分の重みで動く(非番・別行動)。
# ・街全体を回る職(領主の視察・騎士団長・連絡役・衛兵隊長・情報屋・招集役など)は、
#   詰所のある区画に張り付かせず、五区画へ散るよう重みを配ってある。
# ・行動型は 不動(持ち場を離れない)/定住(拠点はあるが時々ふらつく)/遊動(一日中街を巡る)の3種。
# ・**遠出先は、その地域に貼られる依頼のランクに手が届く者だけに与える**
#   (`world/crossroad/64_danger_zone_quest_board.md`。さざめき平原=D〜E / 赤牙森林=C〜D /
#    灰岩峡谷=A〜B / 骨鳴り墓原=A〜S。ランクとLvの対応は`world/14_adventurers_guild.md`)。
#   ただし**街にAランク冒険者が一人もいない**ため、A・S帯の骨鳴り墓原・星喰いの地下神殿へは
#   **Bランク最上位(Lv47〜50)だけが条件付きで入る**(`world/14_adventurers_guild.md`
#   「クロスロード支部の実情」)。
#   骨鳴り墓原だけは例外で、**結界杭のすぐ内側で完結する「杭際」の雑務がD〜Eで出る**ため、
#   低〜中位の者も行き先に持ってよい(`world/crossroad/63_bone_toll_moor.md`「杭際」)。
#   その場合、配置に「骨鳴り墓原」と出ても**踏んでいるのは縁から数十歩**だと読むこと。
#   加えて、依頼ではなく職務で入る者——仁礼(双槌の視察が本業)とセリア(浄化院の管理業務・
#   護衛付き)はLvが足りなくても骨鳴り墓原へ行く。**これらを「不整合」として消さないこと。**
# ・冒険者稼業の者は、日中(朝〜夕)に一定確率で街の外へ出ているのが常態。専業ほど遠出率が高い
#   (専業パーティー・ソロ50〜60%、修行や滞在中の者35〜50%、学校がある子供30%)。
#   職人・商人の採取や仕入れ(10〜20%)、空輸便(50%)も同じ枠で扱う。
#
名前	ファイル	行動型	注目度	同行	追従	遠出率	遠出先	既定	未明	朝	昼	夕	宵	夜半
クラリス	01	定住	3			5	王都街道:3|麦穂街道:1	中央区:8|北区:4|東区:4|南区:4|西区:4	中央区					中央区
ミレーヌ	02	定住	3			0		西区:14|中央区:1	西区
ヴァレリア	03	遊動	3			10	王都街道:2|麦穂街道:1|森境街道:1|灰岩街道:1|骨鳴り墓原:1	中央区:6|北区:3|東区:3|南区:3|西区:3	中央区					中央区
エイダ	04	遊動	3			5	王都街道:1|麦穂街道:1	中央区:4|北区:3|東区:3|南区:3|西区:3	中央区:4|西区:2|北区:1|東区:1
ルカ	05	遊動	2			8	王都街道:2|麦穂街道:1|森境街道:1	中央区:5|北区:3|東区:3|南区:3|西区:2	中央区					中央区
ガルム	06	不動	2			0		南区:14|北区:1	南区
ダリオ	07	不動	3			0		北区:14|中央区:1	北区
銀鴉の羽根	08	定住	2			60	さざめき平原:2|赤牙森林:3|灰岩峡谷:3|黒硝子遺跡:2|忘れられた鉱山:1|王都街道:1|森境街道:1|骨鳴り墓原:1	北区:9|西区:2|中央区:1	北区					北区:4|西区:3
セリア	09	定住	2			12	骨鳴り墓原:5|麦穂街道:1	中央区:10|東区:2|北区:1|南区:1|西区:1	中央区
リネット	10	遊動	1			10	王都街道:2|麦穂街道:1|森境街道:1|灰岩街道:1	北区:7|西区:3|中央区:2|東区:2|南区:1	北区
マリナ	11	不動	2			0		東区:14|中央区:1	東区
ロゼ・リゼ	12	遊動	0			8	王都街道:2|麦穂街道:1	北区:5|西区:4|東区:2|中央区:1|南区:1	北区:2|西区:2|東区:1
ミルカ	13	不動	2			20	赤牙森林:4|さざめき平原:3	南区:12|東区:2	南区
ミーナ	14	遊動	0			5	王都街道:1	西区:6|北区:3|中央区:2|東区:2|南区:1	西区
ザラ	15	定住	0			8	王都街道:1|麦穂街道:1|灰岩街道:1	西区:11|北区:2|東区:1	西区
ギデオン	16	不動	3			0		西区:14|北区:1	西区
リエラ	17	不動	2			0		北区:14|中央区:1	北区
ミレイ	18	定住	2			0		東区:7|南区:6|中央区:1	東区
ロザリア	19	不動	2			0		西区:15	西区
ベルナデッタ	20	遊動	2			0		西区:10|中央区:2|北区:2|東区:1|南区:1	西区
エルシア	21	定住	1			0		西区:10|東区:3|南区:2	西区		東区:6|南区:4	東区:6|南区:4|西区:1	東区:3|西区:5	西区	西区
バルト	22	不動	2			0		北区:15	北区
エリアス	23	遊動	2			6	王都街道:2|森境街道:1	西区:8|東区:3|北区:2|中央区:2|南区:2	西区
ヴィヴィアナ	24	不動	2			0		西区:14|北区:1	西区
レオン	25	不動	2			3	王都街道:1	西区:15	西区
セレナ	26	不動	2			5	灰岩峡谷:2|黒硝子遺跡:2|忘れられた鉱山:1	南区:14|北区:1	南区
ララ	27	定住	2			30	さざめき平原:3|赤牙森林:3|黒硝子遺跡:1	東区:11|南区:2|北区:1	東区
カーラ	28	定住	2	ララ		0		東区:11|西区:1|北区:1	東区
ボルガン	29	定住	3			12	王都街道:3|灰岩街道:2|麦穂街道:1|忘れられた鉱山:1	北区:12|中央区:2|西区:1	北区
アイアンくん	30	不動	3			0		南区:100	南区
